iter	Passed	Remaining
178	1303	2338
179	1310	2329
180	1317	2322
181	1325	2315
182	1331	2306
183	1339	2300
184	1346	2292
185	1353	2284
186	1360	2276
187	1367	2269
188	1375	2262
189	1382	2255
190	1389	2247
191	1395	2238
192	1402	2231
193	1409	2223
194	1416	2215
195	1423	2207
196	1431	2201
197	1437	2192
198	1446	2187
199	1452	2178
200	1459	2170
201	1466	2162
202	1474	2156
203	1482	2151
204	1489	2142
205	1496	2135
206	1504	2129
207	1512	2122
208	1519	2116
209	1528	2111
210	1537	2105
211	1544	2098
212	1553	2092
213	1560	2085
214	1568	2079
215	1578	2075
216	1588	2071
217	1595	2063
218	1602	2056
219	1609	2048
220	1616	2040
221	1623	2032
222	1629	2024
223	1635	2015
224	1642	2007
225	1649	1999
226	1656	1991
227	1663	1983
228	1669	1975
229	1676	1967
230	1682	1959
231	1689	1952
232	1696	1944
233	1703	1936
234	1710	1928
235	1717	1920
236	1723	1913
237	1730	1905
238	1737	1897
239	1744	1889
240	1751	1882
241	1757	1873
242	1764	1866
243	1772	1859
244	1779	1851
245	1785	1843
246	1792	1835
247	1798	1827
248	1805	1819
249	1812	1812
250	1819	1804
251	1825	1796
252	1832	1789
253	1839	1781
254	1846	1773
255	1852	1765
256	1858	1757
257	1865	1749
258	1871	1741
259	1878	1734
260	1886	1727
261	1892	1719
262	1899	1711
263	1907	1705
264	1915	1698
265	1922	1691
266	1931	1685
267	1939	1679
268	1947	1672
269	1954	1664
270	1962	1658
271	1970	1651
272	1980	1646
273	1988	1640
274	1996	1633
275	2004	1626
276	2012	1620
277	2019	1612
278	2026	1605
279	2032	1596
280	2038	1588
281	2044	1580
282	2051	1573
283	2058	1565
284	2064	1557
285	2070	1549
286	2076	1541
287	2083	1533
288	2090	1526
289	2097	1518
290	2104	1511
291	2111	1504
292	2118	1496
293	2126	1489
294	2132	1482
295	2139	1474
296	2146	1467
297	2154	1460
298	2160	1452
299	2167	1444
300	2173	1437
301	2180	1429
302	2188	1423
303	2194	1415
304	2201	1407
305	2208	1399
306	2215	1392
307	2222	1385
308	2228	1377
309	2234	1369
310	2241	1362
311	2247	1354
312	2254	1346
313	2260	1338
314	2266	1331
315	2273	1323
316	2280	1316
317	2286	1308
318	2293	1301
319	2301	1294
320	2307	1286
321	2314	1279
322	2321	1271
323	2327	1264
324	2334	1256
325	2341	1249
326	2347	1242
327	2354	1234
328	2361	1227
329	2368	1220
330	2375	1212
331	2381	1205
332	2388	1198
333	2395	1190
334	2402	1183
335	2408	1175
336	2415	1168
337	2422	1161
338	2428	1153
339	2435	1146
340	2441	1138
341	2448	1130
342	2454	1123
343	2461	1116
344	2467	1108
345	2474	1101
346	2481	1094
347	2488	1087
348	2496	1080
349	2502	1072
350	2510	1065
351	2516	1057
352	2523	1050
353	2529	1043
354	2534	1035
355	2541	1027
356	2548	1020
357	2555	1013
358	2562	1006
359	2569	999
360	2575	991
361	2581	984
362	2588	976
363	2594	969
364	2601	962
365	2608	954
366	2614	947
367	2621	940
368	2628	932
369	2634	925
370	2641	918
371	2647	911
372	2654	903
373	2661	896
374	2668	889
375	2674	881
376	2681	874
377	2687	867
378	2693	860
379	2700	852
380	2707	845
381	2713	838
382	2720	830
383	2727	823
384	2734	816
385	2740	809
386	2747	802
387	2753	794
388	2760	787
389	2766	780
390	2772	772
391	2778	765
392	2785	758
393	2792	751
394	2798	743
395	2805	736
396	2812	729
397	2818	722
398	2825	715
399	2832	708
400	2839	701
401	2846	693
402	2853	686
403	2859	679
404	2866	672
405	2872	665
406	2880	658
407	2887	651
408	2894	644
409	2901	636
410	2907	629
411	2913	622
412	2920	615
413	2926	607
414	2932	600
415	2941	593
416	2948	586
417	2955	579
418	2961	572
419	2968	565
420	2974	558
421	2981	551
422	2988	543
423	2994	536
424	3000	529
425	3007	522
426	3014	515
427	3021	508
428	3027	501
429	3033	493
430	3040	486
431	3048	479
432	3054	472
433	3061	465
434	3068	458
435	3074	451
436	3081	444
437	3087	437
438	3094	429
439	3101	422
440	3107	415
441	3114	408
442	3120	401
443	3127	394
444	3133	387
445	3140	380
446	3145	372
447	3152	365
448	3159	358
449	3165	351
450	3172	344
451	3178	337
452	3185	330
453	3192	323
454	3200	316
455	3206	309
456	3213	302
457	3220	295
458	3227	288
459	3233	281
460	3240	274
461	3246	267
462	3254	260
463	3261	253
464	3268	246
465	3275	238
466	3282	231
467	3289	224
468	3295	217
469	3302	210
470	3309	203
471	3316	196
472	3322	189
473	3329	182
474	3335	175
475	3342	168
476	3349	161
477	3356	154
478	3362	147
479	3368	140
480	3375	133
481	3382	126
482	3389	119
483	3395	112
484	3402	105
485	3409	98
486	3415	91
487	3422	84
488	3429	77
489	3435	70
490	3441	63
491	3448	56
492	3454	49
493	3460	42
494	3467	35
495	3475	28
496	3481	21
497	3488	14
498	3494	7
499	3501	0
